"","property_type","claim_id","claim_amount","property_value","pml","deductible","claim_status","payment","incident_date","payment_date","incident_type"
"1","house","723949d8",196740,528000,106000,5000,"settled",191740,2007-07-02,2007-09-30,"water damage"
"2","house","90d02e95",187650,533000,107000,1000,"open",20000,2011-04-03,2011-07-02,"theft"
"3","house","344c54d1",206580,366000,73000,2000,"settled",204580,2019-01-12,2019-04-12,"nat cat"
"4","house","b3968015",201550,234000,47000,5000,"under investigation",0,2005-08-17,NA,"nat cat"
"5","house","b0e31207",205740,411000,82000,500,"settled",205240,2023-05-21,2023-08-19,"fire"
"6","house","f66d1e60",207780,278000,56000,5000,"settled",202780,2016-12-16,2017-03-16,"other"
"7","house","87281d6e",191240,323000,65000,5000,"settled",186240,2022-09-11,2022-12-10,"nat cat"
"8","house","c9c8da94",195140,537000,107000,2000,"settled",193140,2022-10-02,2022-12-31,"fire"
"9","house","01b15438",214540,430000,86000,1000,"open",20000,2015-12-07,2016-03-06,"theft"
"10","house","09e6ef2d",197940,385000,77000,2000,"settled",195940,2023-10-01,2023-12-30,"fire"
"11","house","2b61e801",233370,381000,76000,5000,"settled",228370,2018-07-11,2018-10-09,"water damage"
"12","house","00b1d3cc",213590,97000,19000,500,"settled",213090,2015-09-08,2015-12-07,"other"
"13","house","0a135cc6",189200,393000,79000,2000,"under investigation",0,2022-06-04,NA,"water damage"
"14","house","2f3325e5",214470,521000,104000,1000,"settled",213470,2011-11-12,2012-02-10,"water damage"
"15","house","8ce48a01",193040,544000,109000,2000,"settled",191040,2012-05-08,2012-08-06,"fire"
"16","house","2f4d70c7",195090,623000,125000,1000,"settled",194090,2023-12-22,2024-03-21,"water damage"
"17","house","0b3aad44",218310,515000,103000,1000,"denied",0,2009-04-30,NA,"water damage"
"18","house","d842a4aa",196040,198000,40000,2000,"open",20000,2005-12-04,2006-03-04,"theft"
"19","house","a4749bff",210580,361000,72000,500,"settled",210080,2013-01-01,2013-04-01,"fire"
"20","house","1357a5af",224720,609000,122000,1000,"settled",223720,2008-12-10,2009-03-10,"water damage"
"21","house","cd263a15",196940,613000,123000,1000,"settled",195940,2010-02-06,2010-05-07,"fire"
"22","house","90e32252",182480,379000,76000,2000,"settled",180480,2016-11-11,2017-02-09,"fire"
"23","house","3eb87596",222380,363000,73000,1000,"settled",221380,2008-03-31,2008-06-29,"fire"
"24","house","8a67e2a4",200630,649000,130000,2000,"settled",198630,2007-02-13,2007-05-14,"nat cat"
