house,apartment,townhouse,shop,department store,factory,warehouse,sedan,SUV,sports car,marine cargo,turboprop aircraft,light sport aircraft,property_value,claim_amount,pml,deductible,payment,water damage,theft,nat cat,fire,other,collision
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.078418639,-0.069060647,-0.15819171,0.009750528,-0.049049367,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.074858136,-0.072353853,-0.155792941,-0.153713139,-0.118216434,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.193778952,-0.065495724,-0.237351085,-0.112847223,-0.043878148,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.161734421,-0.065800047,-0.215762164,-0.174146098,-0.043612337,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.256443813,-0.065060978,-0.278130157,0.009750528,-0.044603085,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.224399282,-0.071053236,-0.256541236,0.009750528,-0.051264453,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.072009733,-0.069640309,-0.155792941,-0.112847223,-0.048485527,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148204507,-0.062611905,-0.206167089,-0.153713139,-0.118216434,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.180249039,-0.0686259,-0.227756009,-0.112847223,-0.047357846,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.183097442,-0.055790004,-0.230154778,0.009750528,-0.034296894,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.385334039,-0.062956079,-0.366884608,-0.174146098,-0.040450806,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.083403344,-0.062637265,-0.162989248,-0.153713139,-0.040297763,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.067025028,-0.070401116,-0.150995403,-0.112847223,-0.049331287,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.010769073,-0.069658424,-0.1126151,-0.153713139,-0.048102921,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.087675948,-0.061246075,-0.165388017,-0.153713139,-0.126271292,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.313411869,-0.069314249,-0.31651046,-0.112847223,-0.118216434,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.197339455,-0.064046569,-0.239749854,-0.174146098,-0.041663062,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.020738483,-0.058923803,-0.119811407,-0.153713139,-0.036169648,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.01789008,-0.068988189,-0.117412638,-0.153713139,-0.047357846,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.184521643,-0.074226887,-0.230154778,-0.112847223,-0.053584252,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.195915254,-0.05977156,-0.237351085,-0.153713139,-0.037112067,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0.007745545,-0.067651343,-0.100621255,-0.112847223,-0.046274468,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.193778952,-0.069643932,-0.237351085,-0.174146098,-0.04788544,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.203036261,-0.0659667,-0.242148623,-0.153713139,-0.043998971,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.020738483,-0.073998645,-0.119811407,-0.174146098,-0.052726409,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.152477112,-0.072748748,-0.208565857,0.009750528,-0.05314929,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.208733067,-0.073469703,-0.246946161,-0.153713139,-0.052339776,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.061328222,-0.075034791,-0.148596634,0.009750528,-0.118216434,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.198763657,-0.065332694,-0.239749854,-0.112847223,-0.043696913,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.240777598,-0.066694901,-0.268535081,-0.153713139,-0.044808484,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.045662007,-0.067260071,-0.136602789,0.009750528,-0.047047734,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.203748362,-0.07048082,-0.244547392,0.009750528,-0.050628119,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.301306157,-0.072292264,-0.309314153,-0.174146098,-0.126271292,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.143219802,-0.076799138,-0.20376832,-0.174146098,-0.055839612,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.190930549,-0.076578142,-0.234952316,0.009750528,-0.057406282,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0.096758132,-0.069259906,-0.040652032,0.009750528,-0.049270875,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.100493761,-0.072998728,-0.174983092,-0.153713139,-0.05181621,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147492407,-0.064006717,-0.206167089,-0.153713139,-0.041820131,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.160310219,-0.071607538,-0.213363395,0.009750528,-0.051880649,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.213005671,-0.061188109,-0.249344929,-0.174146098,-0.03848542,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.117584177,-0.071513343,-0.184578168,-0.153713139,-0.050164965,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.106902667,-0.067654966,-0.177381861,-0.153713139,-0.126271292,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.136098796,-0.073183495,-0.198970782,-0.174146098,-0.126271292,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.064176625,-0.063731377,-0.148596634,-0.112847223,-0.04191679,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.104054264,-0.060702642,-0.177381861,-0.153713139,-0.038147116,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.097645358,-0.06093813,-0.172584323,0.009750528,-0.126271292,1,0,0,0,0,0
